# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:42:05 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,78,0:09.743.198,50.750 us,64 B,,05,01,OUT txn,00 00 00 02 51 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....Q|...........................................…
1,,79,0:09.743.198,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,80,0:09.743.202,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 02 51 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C6 49,,K....Q|..........................................…
1,,81,0:09.743.247,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,82,0:09.744.195,2.812 us,,,,,[1 SOF],,[Frame: 1205] ,
0,,83,0:09.222.125,522.123.625 ms,64 B,,05,01,IN txn   [522 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,84,0:09.222.125,521.128.770 ms,,,05,01,   [522 IN-NAK],,,
1,,85,0:09.744.198,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,86,0:09.744.201,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,.ABC.............................................…
1,,87,0:09.744.248,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,88,0:09.745.195,520.075.395 ms,,,,,[521 SOF],,[Frames: 1206 - 1726] ,
0,,89,0:10.265.271,50.770 us,64 B,,05,01,OUT txn,00 00 00 02 31 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....1|...........................................…
1,,90,0:10.265.271,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,91,0:10.265.274,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 02 31 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B8 49,,.....1|..........................................…
1,,92,0:10.265.320,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,93,0:10.266.268,334.049.437 ms,,,,,[335 SOF],,[Frames: 1727 - 13] ,
0,,94,0:09.745.198,855.170.083 ms,64 B,,05,01,IN txn   [855 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,95,0:09.745.198,854.123.833 ms,,,05,01,   [855 IN-NAK],,,
1,,96,0:10.600.318,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,97,0:10.600.321,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,KABC.............................................…
1,,98,0:10.600.367,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,99,0:10.601.314,193.029.791 ms,,,,,[194 SOF],,[Frames: 14 - 207] ,
0,,100,0:10.794.345,50.750 us,64 B,,05,01,OUT txn,00 00 00 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...!Q.665455.....................................…
1,,101,0:10.794.345,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,102,0:10.794.348,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 D1,,K...!Q.665455....................................…
1,,103,0:10.794.394,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,104,0:10.601.318,1.999.283.604 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,105,0:10.795.342,1.999.281.833 s,,,,,[2000 SOF],,[Frames: 208 - 159] [Periodic Timeout],
0,,106,0:12.601.597,1.999.283.583 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,107,0:12.795.621,1.999.281.791 s,,,,,[2000 SOF],,[Frames: 160 - 111] [Periodic Timeout],
0,,108,0:14.601.876,1.999.283.604 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,109,0:14.795.900,1.999.281.875 s,,,,,[2000 SOF],,[Frames: 112 - 63] [Periodic Timeout],
0,,110,0:16.602.155,1.999.283.500 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,111,0:16.796.179,1.999.281.791 s,,,,,[2000 SOF],,[Frames: 64 - 15] [Periodic Timeout],
0,,112,0:18.602.434,1.999.283.583 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,113,0:18.796.458,1.999.281.937 s,,,,,[2000 SOF],,[Frames: 16 - 2015] [Periodic Timeout],
0,,114,0:20.796.737,1.381.195.520 s,,,,,[1382 SOF],,[Frames: 2016 - 1349] ,
0,,115,0:20.602.713,1.575.270.562 s,64 B,,05,01,IN txn   [1575 POLL],41 42 43 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC!Q.665455.....................................…
1,,116,0:20.602.713,1.574.224.333 s,,,05,01,   [1575 IN-NAK],,,
1,,117,0:22.177.933,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,118,0:22.177.936,45.520 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 02,,.ABC!Q.665455....................................…
1,,119,0:22.177.982,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,120,0:22.178.930,39.008.354 ms,,,,,[40 SOF],,[Frames: 1350 - 1389] ,
0,,121,0:22.217.939,50.770 us,64 B,,05,01,OUT txn,00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 C9 A7 66 54 55 75 00 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...(Q.665455...........!..............fTUu.......…
1,,122,0:22.217.939,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,123,0:22.217.942,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 C9 A7 66 54 55 75 00 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 93 42,,....(Q.665455...........!..............fTUu......…
1,,124,0:22.217.988,1.500 us,1 B,,05,01,   ACK packet,D2,,.
