# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:46:47 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,106,0:12.462.658,1.999.283.125 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,107,0:12.649.680,1.999.281.375 s,,,,,[2000 SOF],,[Frames: 762 - 713] [Periodic Timeout],
0,,108,0:14.462.936,1.999.283.187 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,109,0:14.649.959,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 714 - 665] [Periodic Timeout],
0,,110,0:16.463.215,1.999.283.083 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,111,0:16.650.238,1.999.281.333 s,,,,,[2000 SOF],,[Frames: 666 - 617] [Periodic Timeout],
0,,112,0:18.463.494,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,113,0:18.650.516,1.999.281.354 s,,,,,[2000 SOF],,[Frames: 618 - 569] [Periodic Timeout],
0,,114,0:20.463.772,1.999.283.083 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,115,0:20.650.795,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 570 - 521] [Periodic Timeout],
0,,116,0:22.651.073,807.115.291 ms,,,,,[808 SOF],,[Frames: 522 - 1329] ,
0,,117,0:22.464.051,994.189.333 ms,64 B,,05,01,IN txn   [994 POLL],41 42 43 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC!Q.665455.....................................…
1,,118,0:22.464.051,993.143.000 ms,,,05,01,   [994 IN-NAK],,,
1,,119,0:23.458.189,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,120,0:23.458.193,45.520 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 02,,.ABC!Q.665455....................................…
1,,121,0:23.458.239,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,122,0:23.459.186,25.006.312 ms,,,,,[26 SOF],,[Frames: 1330 - 1355] ,
0,,123,0:23.484.193,50.750 us,64 B,,05,01,OUT txn,00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 C9 A7 66 54 55 75 00 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...(Q.665455...........!..............fTUu.......…
1,,124,0:23.484.193,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,125,0:23.484.196,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 C9 A7 66 54 55 75 00 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 93 42,,K...(Q.665455...........!..............fTUu......…
1,,126,0:23.484.242,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,127,0:23.485.190,208.031.770 ms,,,,,[209 SOF],,[Frames: 1356 - 1564] ,
0,,128,0:23.459.189,234.083.333 ms,64 B,,05,01,IN txn   [234 POLL],41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC<Q.665455...........!........@................…
1,,129,0:23.459.189,233.037.125 ms,,,05,01,   [234 IN-NAK],,,
1,,130,0:23.693.222,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,131,0:23.693.225,45.416 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D9 39,,KABC<Q.665455...........!........@...............…
1,,132,0:23.693.271,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,133,0:23.694.219,2.833 us,,,,,[1 SOF],,[Frame: 1565] ,
0,,134,0:23.694.222,50.770 us,64 B,,05,01,IN txn,41 42 43 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC%.............................................…
1,,135,0:23.694.222,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,136,0:23.694.225,45.437 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1F DF,,.ABC%............................................…
1,,137,0:23.694.271,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,138,0:23.695.219,60.011.166 ms,,,,,[61 SOF],,[Frames: 1566 - 1626] ,
0,,139,0:23.755.231,50.833 us,64 B,,05,01,OUT txn,00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 E2 A7 66 54 55 83 00 D9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...(Q.665455...........!..............fTU........…
1,,140,0:23.755.231,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,141,0:23.755.234,45.583 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 E2 A7 66 54 55 83 00 D9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 19 6E,,....(Q.665455...........!..............fTU.......…
1,,142,0:23.755.280,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,143,0:23.756.227,206.031.500 ms,,,,,[207 SOF],,[Frames: 1627 - 1833] ,
0,,144,0:23.695.222,267.088.020 ms,64 B,,05,01,IN txn   [267 POLL],41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 0C 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC<Q.665455...........!........@................…
1,,145,0:23.695.222,266.041.729 ms,,,05,01,   [267 IN-NAK],,,
1,,146,0:23.962.260,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,147,0:23.962.263,45.520 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 0C 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D1 FE,,KABC<Q.665455...........!........@...............…
1,,148,0:23.962.309,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,149,0:23.963.256,2.833 us,,,,,[1 SOF],,[Frame: 1834] ,
