# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:45:00 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,98,0:25.684.982,2.833 us,,,,,[1 SOF],,[Frame: 299] ,
0,,99,0:25.162.913,522.123.437 ms,64 B,,05,01,IN txn   [522 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,100,0:25.162.913,521.128.604 ms,,,05,01,   [522 IN-NAK],,,
1,,101,0:25.684.986,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,102,0:25.684.989,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,KABC.............................................…
1,,103,0:25.685.035,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,104,0:25.685.983,521.075.437 ms,,,,,[522 SOF],,[Frames: 300 - 821] ,
0,,105,0:26.207.059,50.708 us,64 B,,05,01,OUT txn,00 00 00 02 31 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,....1|...........................................…
1,,106,0:26.207.059,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,107,0:26.207.062,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 02 31 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B8 49,,.....1|..........................................…
1,,108,0:26.207.108,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,109,0:26.208.055,334.049.375 ms,,,,,[335 SOF],,[Frames: 822 - 1156] ,
0,,110,0:25.685.986,856.170.020 ms,64 B,,05,01,IN txn   [856 POLL],41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC..............................................…
1,,111,0:25.685.986,855.123.750 ms,,,05,01,   [856 IN-NAK],,,
1,,112,0:26.542.105,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,113,0:26.542.108,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 69 4B,,.ABC.............................................…
1,,114,0:26.542.155,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,115,0:26.543.102,196.030.145 ms,,,,,[197 SOF],,[Frames: 1157 - 1353] ,
0,,116,0:26.739.133,50.770 us,64 B,,05,01,OUT txn,00 00 00 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...!Q.665455.....................................…
1,,117,0:26.739.133,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,118,0:26.739.136,45.500 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 D1,,K...!Q.665455....................................…
1,,119,0:26.739.182,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,120,0:26.543.105,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,121,0:26.740.129,1.999.281.395 s,,,,,[2000 SOF],,[Frames: 1354 - 1305] [Periodic Timeout],
0,,122,0:28.543.384,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,123,0:28.740.408,1.999.281.375 s,,,,,[2000 SOF],,[Frames: 1306 - 1257] [Periodic Timeout],
0,,124,0:30.543.663,1.999.283.229 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,125,0:30.740.687,1.999.281.375 s,,,,,[2000 SOF],,[Frames: 1258 - 1209] [Periodic Timeout],
0,,126,0:32.543.942,1.999.283.166 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,127,0:32.740.966,1.999.281.375 s,,,,,[2000 SOF],,[Frames: 1210 - 1161] [Periodic Timeout],
0,,128,0:34.544.220,1.999.283.208 s,,,05,01,[2000 IN-NAK],,[Periodic Timeout],
0,,129,0:34.741.244,1.999.281.375 s,,,,,[2000 SOF],,[Frames: 1162 - 1113] [Periodic Timeout],
0,,130,0:36.741.523,473.068.770 ms,,,,,[474 SOF],,[Frames: 1114 - 1587] ,
0,,131,0:36.544.499,670.144.208 ms,64 B,,05,01,IN txn   [670 POLL],41 42 43 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC!Q.665455.....................................…
1,,132,0:36.544.499,669.097.854 ms,,,05,01,   [670 IN-NAK],,,
